gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score
0,1,1,1,1,72,72,74,72.66666666666667
0,2,4,1,0,69,90,88,82.33333333333333
0,1,3,1,1,90,95,93,92.66666666666667
1,0,0,0,1,47,57,44,49.333333333333336
1,2,4,1,1,76,78,75,76.33333333333333
0,1,0,1,1,71,83,78,77.33333333333333
0,1,4,1,0,88,95,92,91.66666666666667
1,1,4,0,1,40,43,39,40.666666666666664
1,3,2,0,0,64,64,67,65.0
0,1,2,0,1,38,60,50,49.333333333333336
1,2,0,1,1,58,54,52,54.666666666666664
1,3,0,1,1,40,52,43,45.0
0,1,2,1,1,65,81,73,73.0
1,0,4,1,0,78,72,70,73.33333333333333
0,0,3,1,1,50,53,58,53.666666666666664
0,2,5,1,1,69,75,78,74.0
1,2,2,1,1,88,89,86,87.66666666666667
0,1,5,0,1,18,32,28,26.0
1,2,3,0,0,46,42,46,44.666666666666664
0,2,0,0,1,54,58,61,57.666666666666664
1,3,2,1,1,66,69,63,66.0
0,1,4,0,0,65,75,70,70.0
1,3,4,1,1,44,54,53,50.333333333333336
0,2,5,1,1,69,73,73,71.66666666666667
1,3,1,0,0,74,71,80,75.0
1,0,3,0,1,73,74,72,73.0
1,1,4,1,1,69,54,55,59.333333333333336
0,2,1,1,1,67,69,75,70.33333333333333
1,2,2,1,1,70,70,65,68.33333333333333
0,3,3,1,1,62,70,75,69.0
0,3,4,1,1,69,74,74,72.33333333333333
0,1,4,1,1,63,65,61,63.0
0,4,3,0,1,56,72,65,64.33333333333333
1,3,4,1,1,40,42,38,40.0
1,4,4,1,1,97,87,82,88.66666666666667
1,4,0,1,0,81,81,79,80.33333333333333
0,3,0,1,1,74,81,83,79.33333333333333
0,3,5,0,1,50,64,59,57.666666666666664
0,3,0,0,0,75,90,88,84.33333333333333
1,1,0,0,1,57,56,57,56.666666666666664
1,2,0,0,1,55,61,54,56.666666666666664
0,2,0,1,1,58,73,68,66.33333333333333
0,1,0,1,1,53,58,65,58.666666666666664
1,1,4,0,0,59,65,66,63.333333333333336
0,4,0,0,1,50,56,54,53.333333333333336
1,1,0,1,1,65,54,57,58.666666666666664
0,0,0,1,0,55,65,62,60.666666666666664
0,2,2,1,1,66,71,76,71.0
0,3,0,0,0,57,74,76,69.0
1,2,2,1,0,82,84,82,82.66666666666667
1,4,4,1,1,53,55,48,52.0
1,4,0,0,0,77,69,68,71.33333333333333
1,2,4,1,1,53,44,42,46.333333333333336
1,3,2,1,1,88,78,75,80.33333333333333
0,2,5,0,0,71,84,87,80.66666666666667
0,2,2,0,1,33,41,43,39.0
0,4,0,1,0,82,85,86,84.33333333333333
1,3,0,1,1,52,55,49,52.0
1,3,4,1,0,58,59,58,58.333333333333336
0,2,5,0,1,0,17,10,9.0
1,4,1,0,0,79,74,72,75.0
1,0,5,0,1,39,39,34,37.333333333333336
1,0,0,0,1,62,61,55,59.333333333333336
0,2,0,1,1,69,80,71,73.33333333333333
0,3,5,1,1,59,58,59,58.666666666666664
1,1,5,1,1,67,64,61,64.0
1,3,5,0,1,45,37,37,39.666666666666664
0,2,4,1,1,60,72,74,68.66666666666667
1,1,0,0,1,61,58,56,58.333333333333336
0,2,0,1,1,39,64,57,53.333333333333336
0,3,4,0,0,58,63,73,64.66666666666667
1,3,4,1,0,63,55,63,60.333333333333336
0,0,0,0,1,41,51,48,46.666666666666664
1,2,5,0,1,61,57,56,58.0
1,2,5,1,1,49,49,41,46.333333333333336
1,1,0,0,1,44,41,38,41.0
1,4,5,1,1,30,26,22,26.0
1,0,1,1,0,80,78,81,79.66666666666667
0,3,5,1,0,61,74,72,69.0
0,4,3,1,1,62,68,68,66.0
0,1,0,1,1,47,49,50,48.666666666666664
1,1,2,0,1,49,45,45,46.333333333333336
1,0,4,0,0,50,47,54,50.333333333333336
1,4,0,1,1,72,64,63,66.33333333333333
1,3,2,0,1,42,39,34,38.333333333333336
0,2,4,1,1,73,80,82,78.33333333333333
0,2,4,0,1,76,83,88,82.33333333333333
0,3,0,1,1,71,71,74,72.0
0,0,4,1,1,58,70,67,65.0
0,3,5,1,1,73,86,82,80.33333333333333
0,2,1,1,1,65,72,74,70.33333333333333
1,2,2,0,1,27,34,36,32.333333333333336
1,2,2,1,1,71,79,71,73.66666666666667
1,2,0,0,0,43,45,50,46.0
0,1,4,1,1,79,86,92,85.66666666666667
1,2,0,0,0,78,81,82,80.33333333333333
1,1,5,1,0,65,66,62,64.33333333333333
0,4,4,1,0,63,72,70,68.33333333333333
0,3,4,0,1,58,67,62,62.333333333333336
0,3,1,1,1,65,67,62,64.66666666666667
1,1,4,1,1,79,67,67,71.0
1,3,1,1,0,68,74,74,72.0
0,3,0,1,1,85,91,89,88.33333333333333
1,1,2,1,0,60,44,47,50.333333333333336
1,2,4,1,0,98,86,90,91.33333333333333
0,2,4,1,1,58,67,72,65.66666666666667
0,3,3,1,1,87,100,100,95.66666666666667
1,4,0,1,0,66,63,64,64.33333333333333
0,1,0,0,1,52,76,70,66.0
0,1,5,1,1,70,64,72,68.66666666666667
0,3,0,0,0,77,89,98,88.0
1,2,2,1,1,62,55,49,55.333333333333336
1,0,0,1,1,54,53,47,51.333333333333336
0,3,4,1,1,51,58,54,54.333333333333336
0,4,1,1,0,99,100,100,99.66666666666667
1,2,2,1,1,84,77,74,78.33333333333333
0,1,1,0,1,75,85,82,80.66666666666667
0,3,1,1,1,78,82,79,79.66666666666667
0,3,5,1,1,51,63,61,58.333333333333336
0,2,4,1,1,55,69,65,63.0
0,2,1,1,0,79,92,89,86.66666666666667
1,1,0,1,0,91,89,92,90.66666666666667
0,2,4,1,0,88,93,93,91.33333333333333
1,3,2,0,1,63,57,56,58.666666666666664
1,4,4,1,1,83,80,73,78.66666666666667
0,1,2,1,1,87,95,86,89.33333333333333
1,1,5,1,1,72,68,67,69.0
1,3,4,1,0,65,77,74,72.0
1,3,3,1,1,82,82,74,79.33333333333333
0,0,1,1,1,51,49,51,50.333333333333336
1,3,3,1,1,89,84,82,85.0
1,2,5,0,0,53,37,40,43.333333333333336
1,4,4,0,0,87,74,70,77.0
0,2,4,1,0,75,81,84,80.0
1,3,1,0,0,74,79,75,76.0
1,2,1,1,1,58,55,48,53.666666666666664
1,1,5,1,0,51,54,41,48.666666666666664
1,4,2,1,1,70,55,56,60.333333333333336
0,2,0,1,1,59,66,67,64.0
1,3,4,1,0,71,61,69,67.0
0,3,5,1,1,76,72,71,73.0
